         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.022 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55b78bf0e000
     0.034 ( 0.005 ms): pesquisaOverhe/7 access(filename: 0xd5954e7                                            ) = -1 ENOENT No such file or directory
     0.042 ( 0.002 ms): pesquisaOverhe/7 access(filename: 0xd597c70, mode: R                                   ) = -1 ENOENT No such file or directory
     0.048 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0xd595988, flags: CLOEXEC                              ) = 3
     0.055 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3<pipe:[1175944]>, statbuf: 0x7ffe0bdc5c70                  ) = 0
     0.058 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fc50d797000
     0.062 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3<pipe:[1175944]>                                           ) = 0
     0.066 ( 0.003 ms): pesquisaOverhe/7 access(filename: 0xd5954e7                                            ) = -1 ENOENT No such file or directory
     0.071 ( 0.005 ms): pesquisaOverhe/7 open(filename: 0xd79dd68, flags: CLOEXEC                              ) = 3
     0.077 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffe0bdc5e18, count: 832                           ) = 832
     0.081 ( 0.001 ms): pesquisaOverhe/7 fstat(fd: 3, statbuf: 0x7ffe0bdc5cb0                                  ) = 0
     0.084 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fc50d795000
     0.090 ( 0.003 ms): pesquisaOverhe/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fc50d1d9000
     0.094 ( 0.005 ms): pesquisaOverhe/7 mprotect(start: 0x7fc50d36e000, len: 2097152                          ) = 0
     0.101 ( 0.004 ms): pesquisaOverhe/7 mmap(addr: 0x7fc50d56e000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fc50d56e000
     0.109 ( 0.003 ms): pesquisaOverhe/7 mmap(addr: 0x7fc50d574000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fc50d574000
     0.116 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.130 ( 0.002 ms): pesquisaOverhe/7 arch_prctl(option: 4098, arg2: 140484311344192                        ) = 0
     0.172 ( 0.004 ms): pesquisaOverhe/7 mprotect(start: 0x7fc50d56e000, len: 16384, prot: READ                ) = 0
     0.179 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x55b78abf7000, len: 4096, prot: READ                 ) = 0
     0.185 ( 0.003 ms): pesquisaOverhe/7 mprotect(start: 0x7fc50d79b000, len: 4096, prot: READ                 ) = 0
     0.189 ( 0.004 ms): pesquisaOverhe/7 munmap(addr: 0x7fc50d797000, len: 13580                               ) = 0
     0.214 ([33m 0.012 ms[m): pesquisaOverhe/7 pipe2(fildes: 0x7ffe0bdc63b0, flags: CLOEXEC                          ) = 0
     0.227 ( 0.002 ms): pesquisaOverhe/7 mmap(len: 36864, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|STACK, fd: -1) = 0x7fc50d78c000
     0.231 ( 0.002 ms): pesquisaOverhe/7 rt_sigprocmask(how: BLOCK, nset: 0x7ffe0bdc6330, oset: 0x7ffe0bdc63b8, sigsetsize: 8) = 0
     0.235 ([31m 2.103 ms[m): pesquisaOverhe/7 clone(clone_flags: 16657, newsp: 140484311338992, parent_tidptr: 0xffffffffffffffff, child_tidptr: 0x55b78a9f7a28) = 8 (pesquisaOverhea)
     2.343 ( 0.002 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     2.347 ( 0.002 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffe0bdc6328, count: 4                             ) = 0
     2.350 ( 0.007 ms): pesquisaOverhe/7 munmap(addr: 0x7fc50d78c000, len: 36864                               ) = 0
     2.358 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
